OcutimeStamp,UnityTimeStamp,leftPor.x,leftPor.y,rightPor.x,rightPor.y,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,torsoPosition.x,torsoPosition.y,torsoPosition.z,torsoRotation.x,torsoRotation.y,torsoRotation.z,torsoRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valL,valR
13749938237,63778385196129,0.5288711,0.5225289,0.4596246,0.5266253,-15.15345,2.210078,-1.732456,-0.04817978,-0.7189562,0.05732489,-0.6910098,0,0,0,0,0,0,0,15.15147,-2.208143,1.708324,-0.02319045,-0.2489552,-0.9682373,-0.03225664,0.002351883,-0.02535533,0.02828331,0.001516495,-0.02290883,0.003570557,0.06364441,0.9979553,-0.0335083,0.07333374,0.9967346,True,True
13749946327,63778385196129,0.5273999,0.5229668,0.4609394,0.5236893,-15.15345,2.210078,-1.732456,-0.04817978,-0.7189562,0.05732489,-0.6910098,0,0,0,0,0,0,0,15.15147,-2.208111,1.708234,-0.023191,-0.2489646,-0.9682349,-0.03227768,0.002389267,-0.02544139,0.02831011,0.001545334,-0.02300328,-0.0003204346,0.06492615,0.997879,-0.03005981,0.06477356,0.9974365,True,True
13749954682,63778385196139,0.5269613,0.523243,0.4618108,0.5245709,-15.15344,2.210075,-1.732421,-0.04812411,-0.7189716,0.05727251,-0.6910021,0,0,0,0,0,0,0,15.15146,-2.208132,1.708259,-0.0231658,-0.2489654,-0.9682353,-0.03228978,0.002334763,-0.02530116,0.02832579,0.001550537,-0.02302328,-0.001480103,0.06573486,0.9978333,-0.02775574,0.06735229,0.9973297,True,True
13749963054,63778385196151,0.5267304,0.5237699,0.4609329,0.5240029,-15.1534,2.210059,-1.732365,-0.04825958,-0.7190487,0.05715659,-0.6909219,0,0,0,0,0,0,0,15.15141,-2.208144,1.708276,-0.02317161,-0.2489879,-0.9682294,-0.03230187,0.002280273,-0.02516093,0.02833151,0.001549759,-0.02301642,-0.002090454,0.067276,0.9977264,-0.03007507,0.06568909,0.9973755,True,True
13749971365,63778385196161,0.5269843,0.5241663,0.4608569,0.5244104,-15.15335,2.21005,-1.732349,-0.04829026,-0.7190471,0.05695362,-0.6909382,0,0,0,0,0,0,0,15.15137,-2.208141,1.708276,-0.02313104,-0.2489729,-0.9682342,-0.03230881,0.002269638,-0.02513649,0.02833723,0.001548965,-0.02300955,-0.001419067,0.06843567,0.9976501,-0.03027344,0.06687927,0.9972992,True,True
13749979760,63778385196161,0.5272382,0.5245057,0.4606315,0.5242907,-15.15335,2.21005,-1.732349,-0.04829026,-0.7190471,0.05695362,-0.6909382,0,0,0,0,0,0,0,15.15137,-2.208146,1.708284,-0.02313094,-0.2489721,-0.9682344,-0.03231576,0.002260345,-0.02512369,0.02834381,0.001548218,-0.02300592,-0.0007476807,0.06942749,0.9975739,-0.03086853,0.06652832,0.9972992,True,True
13749988055,63778385196173,0.527169,0.5242342,0.4600703,0.5243753,-15.15333,2.210036,-1.73235,-0.04823082,-0.719089,0.05683988,-0.6909081,0,0,0,0,0,0,0,15.15135,-2.20813,1.708278,-0.02309467,-0.2489858,-0.9682317,-0.03232218,0.002265015,-0.0251423,0.02835039,0.00154747,-0.02300227,-0.0009307861,0.06863403,0.9976349,-0.03234863,0.06677246,0.9972382,True,True
13749996388,63778385196185,0.5270997,0.5239839,0.4599082,0.5243288,-15.15332,2.210024,-1.732321,-0.04833371,-0.7190239,0.056729,-0.6909779,0,0,0,0,0,0,0,15.15133,-2.208119,1.708251,-0.02309182,-0.2489514,-0.9682406,-0.03232858,0.002269669,-0.02516093,0.02835376,0.001540329,-0.02297885,-0.001113892,0.06790161,0.9976807,-0.03277588,0.06663513,0.9972229,True,True
13750004796,63778385196196,0.5266382,0.5231439,0.4597462,0.524402,-15.15341,2.20994,-1.732239,-0.04835463,-0.7190999,0.05666544,-0.6909025,0,0,0,0,0,0,0,15.15142,-2.208036,1.708178,-0.02308381,-0.248982,-0.968233,-0.03233618,0.002274979,-0.02516625,0.02835713,0.001533203,-0.02295543,-0.002334595,0.06544495,0.9978485,-0.03320313,0.06684875,0.9972076,True,True
13750013048,63778385196196,0.5261884,0.5222943,0.4610478,0.5243944,-15.15341,2.20994,-1.732239,-0.04835463,-0.7190999,0.05666544,-0.6909025,0,0,0,0,0,0,0,15.15142,-2.208033,1.708173,-0.02308077,-0.2489853,-0.9682323,-0.03234378,0.002280273,-0.02517155,0.0283598,0.001533325,-0.02296034,-0.00352478,0.06295776,0.9980011,-0.0297699,0.0668335,0.9973145,True,True
13750021413,63778385196206,0.5257611,0.5231495,0.4623084,0.5244655,-15.15333,2.209848,-1.732193,-0.0483567,-0.7190917,0.05658831,-0.6909172,0,0,0,0,0,0,0,15.15134,-2.207941,1.708113,-0.02306064,-0.2489744,-0.9682355,-0.03235043,0.002280884,-0.02519539,0.02836246,0.001533203,-0.02296526,-0.004653931,0.06546021,0.9978333,-0.02644348,0.06704712,0.9973907,True,True
13750029702,63778385196218,0.5253111,0.5232592,0.4622678,0.5245023,-15.1534,2.209799,-1.732166,-0.04824002,-0.719095,0.05654541,-0.6909255,0,0,0,0,0,0,0,15.15141,-2.207891,1.708072,-0.0230281,-0.2489759,-0.9682359,-0.0323571,0.002281494,-0.02521921,0.02836513,0.001533325,-0.02296811,-0.005844116,0.06578064,0.9978027,-0.02655029,0.06715393,0.9973755,True,True
13750038190,63778385196229,0.5246533,0.522957,0.4622216,0.5245335,-15.15337,2.209827,-1.732127,-0.04822747,-0.7190987,0.05657742,-0.6909198,0,0,0,0,0,0,0,15.15137,-2.207916,1.708022,-0.02303528,-0.2489806,-0.9682345,-0.032362,0.002289017,-0.02523938,0.02836781,0.001533463,-0.02297096,-0.007583618,0.06489563,0.9978485,-0.02667236,0.06724548,0.9973755,True,True
13750046321,63778385196229,0.5239842,0.5226393,0.4627017,0.5244804,-15.15337,2.209827,-1.732127,-0.04822747,-0.7190987,0.05657742,-0.6909198,0,0,0,0,0,0,0,15.15137,-2.207911,1.708008,-0.02303596,-0.2489819,-0.9682341,-0.03236691,0.002296539,-0.02525955,0.02837089,0.001535187,-0.02297917,-0.009353638,0.06396484,0.9978943,-0.02540588,0.0670929,0.9974213,True,True
